species,common_name,scientific_name,group,color,total_records
koala,Koala,Phascolarctos cinereus,Marsupial,#6B7B5E,394119
eastern_grey_kangaroo,Eastern Grey Kangaroo,Macropus giganteus,Marsupial,#8B8378,223230
emu,Emu,Dromaius novaehollandiae,Ratite (Bird),#C8923D,148992
red_kangaroo,Red Kangaroo,Osphranter rufus,Marsupial,#B85450,79829
platypus,Platypus,Ornithorhynchus anatinus,Monotreme,#4A6670,24587
