lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
137.75,-20.75,red_kangaroo,35,33,0,0,2,0
136.25,-18.25,red_kangaroo,46,46,0,0,0,0
135.25,-22.75,red_kangaroo,204,192,0,0,12,0
134.25,-22.25,red_kangaroo,28,28,0,0,0,0
134.75,-22.25,red_kangaroo,38,38,0,0,0,0
131.25,-19.25,red_kangaroo,14,12,0,0,2,0
136.25,-22.25,red_kangaroo,60,52,0,0,8,0
137.75,-22.25,red_kangaroo,47,46,0,0,1,0
130.25,-19.75,red_kangaroo,10,5,0,0,5,0
133.25,-16.75,red_kangaroo,14,11,0,0,3,0
135.75,-24.25,red_kangaroo,29,23,0,0,6,0
130.75,-25.75,red_kangaroo,14,10,0,0,4,0
131.75,-24.75,red_kangaroo,15,12,0,0,3,0
130.25,-19.25,red_kangaroo,36,25,0,0,11,0
130.75,-23.25,red_kangaroo,20,20,0,0,0,0
137.75,-22.75,red_kangaroo,33,23,0,0,10,0
132.25,-25.25,red_kangaroo,91,71,0,0,20,0
134.75,-17.75,red_kangaroo,16,15,0,0,1,0
135.25,-18.25,red_kangaroo,19,19,0,0,0,0
136.75,-24.25,red_kangaroo,24,22,0,0,2,0
137.75,-21.25,red_kangaroo,32,32,0,0,0,0
137.75,-20.25,red_kangaroo,14,14,0,0,0,0
136.25,-22.75,red_kangaroo,41,31,0,0,10,0
135.75,-19.75,red_kangaroo,16,14,0,0,2,0
135.25,-24.25,red_kangaroo,20,14,0,0,6,0
133.25,-24.25,emu,25,10,0,0,15,0
133.75,-25.25,red_kangaroo,34,20,0,0,14,0
135.75,-19.25,red_kangaroo,23,21,0,0,2,0
136.75,-18.75,red_kangaroo,60,54,0,0,6,0
134.75,-23.25,red_kangaroo,19,16,0,0,3,0
135.75,-23.75,red_kangaroo,24,18,0,0,6,0
135.75,-22.25,red_kangaroo,14,9,0,0,5,0
136.25,-23.75,emu,15,7,0,0,8,0
135.25,-23.25,red_kangaroo,39,25,0,0,14,0
130.25,-25.75,red_kangaroo,12,12,0,0,0,0
138.25,-22.75,red_kangaroo,30,16,0,0,14,0
136.75,-22.25,red_kangaroo,18,18,0,0,0,0
131.25,-24.25,red_kangaroo,28,28,0,0,0,0
129.75,-20.25,emu,19,7,0,0,12,0
134.25,-25.25,red_kangaroo,11,7,0,0,4,0
136.25,-19.75,red_kangaroo,14,14,0,0,0,0
133.75,-26.25,red_kangaroo,15,15,0,0,0,0
129.75,-25.25,red_kangaroo,32,23,0,0,9,0
136.75,-23.75,emu,13,4,0,0,9,0
133.75,-22.25,red_kangaroo,14,14,0,0,0,0
132.75,-24.75,red_kangaroo,11,6,0,0,5,0
131.75,-20.25,emu,57,20,0,0,37,0
133.25,-21.75,red_kangaroo,19,16,0,0,3,0
131.75,-23.75,red_kangaroo,15,14,0,0,1,0
137.25,-23.75,red_kangaroo,11,7,0,0,4,0
132.25,-21.25,red_kangaroo,15,14,0,0,1,0
133.75,-21.25,red_kangaroo,27,26,0,0,1,0
130.75,-22.25,red_kangaroo,32,30,0,0,2,0
132.25,-18.25,red_kangaroo,10,10,0,0,0,0
133.25,-25.75,red_kangaroo,37,32,0,0,5,0
129.25,-19.25,red_kangaroo,16,14,0,0,2,0
136.75,-17.75,red_kangaroo,10,7,0,0,3,0
136.25,-19.25,red_kangaroo,11,7,0,0,4,0
130.25,-20.75,emu,24,8,0,0,16,0
134.25,-20.75,red_kangaroo,11,6,0,0,5,0
134.75,-25.75,red_kangaroo,24,21,0,0,3,0
134.75,-25.25,red_kangaroo,14,11,0,0,3,0
133.75,-24.75,red_kangaroo,21,12,0,0,9,0
137.25,-23.25,red_kangaroo,10,8,0,0,2,0
130.75,-19.25,red_kangaroo,15,8,0,0,7,0
129.75,-19.75,emu,10,4,0,0,6,0
134.75,-18.75,red_kangaroo,10,10,0,0,0,0
129.25,-25.25,red_kangaroo,21,13,0,0,8,0
135.25,-25.25,emu,11,2,0,0,9,0
135.25,-25.75,emu,19,9,0,0,10,0
134.25,-26.25,red_kangaroo,11,11,0,0,0,0
137.75,-17.25,emu,14,1,0,0,13,0
133.75,-19.25,emu,11,5,0,0,6,0
130.25,-20.25,emu,17,7,0,0,10,0
130.25,-26.25,red_kangaroo,12,11,0,0,1,0
134.75,-26.25,red_kangaroo,20,14,0,0,6,0
147.75,-35.25,eastern_grey_kangaroo,1005,1,972,2,6,24
153.25,-27.25,koala,10979,1,634,10258,67,19
149.25,-35.25,eastern_grey_kangaroo,13701,2,13101,46,21,531
150.25,-28.75,emu,139,4,35,8,88,4
146.25,-20.75,emu,43,1,4,0,38,0
140.75,-31.25,red_kangaroo,1049,853,0,0,196,0
136.75,-32.25,red_kangaroo,424,356,0,0,68,0
139.25,-31.25,red_kangaroo,653,554,4,0,95,0
137.75,-30.25,red_kangaroo,683,546,0,0,137,0
139.75,-31.75,red_kangaroo,1596,878,0,0,718,0
140.75,-32.75,red_kangaroo,676,503,0,0,173,0
140.75,-32.25,red_kangaroo,1547,1085,3,0,459,0
134.25,-28.25,red_kangaroo,83,74,0,0,9,0
137.25,-32.25,red_kangaroo,438,342,0,0,96,0
134.25,-30.25,red_kangaroo,594,573,0,0,21,0
134.25,-30.75,red_kangaroo,295,268,0,0,27,0
133.75,-27.25,red_kangaroo,173,164,0,0,9,0
137.75,-31.75,red_kangaroo,477,368,0,0,109,0
134.25,-29.75,red_kangaroo,470,461,0,0,9,0
139.25,-29.75,red_kangaroo,358,278,0,0,80,0
139.25,-33.25,red_kangaroo,869,651,0,0,218,0
136.75,-31.75,red_kangaroo,521,449,0,0,72,0
139.75,-33.25,red_kangaroo,690,541,0,0,149,0
134.75,-29.75,red_kangaroo,498,467,0,0,31,0
136.25,-30.75,red_kangaroo,541,488,0,0,53,0
134.75,-30.25,red_kangaroo,666,627,0,0,39,0
137.25,-32.75,red_kangaroo,481,310,0,0,171,0
134.25,-27.75,red_kangaroo,288,277,0,0,11,0
133.75,-30.25,red_kangaroo,498,472,0,0,26,0
134.75,-31.25,red_kangaroo,192,173,0,0,19,0
133.25,-27.25,red_kangaroo,15,10,0,0,5,0
133.25,-29.75,red_kangaroo,400,391,0,0,9,0
134.75,-27.25,red_kangaroo,148,140,0,0,8,0
136.25,-31.75,red_kangaroo,247,225,0,0,22,0
135.25,-31.75,red_kangaroo,332,265,0,0,67,0
133.75,-30.75,red_kangaroo,32,25,0,0,7,0
136.25,-30.25,red_kangaroo,386,348,0,0,38,0
135.75,-31.25,red_kangaroo,339,276,0,0,63,0
139.25,-31.75,red_kangaroo,526,424,12,0,90,0
133.75,-28.75,red_kangaroo,51,45,0,0,6,0
137.25,-31.25,red_kangaroo,645,532,0,0,113,0
138.75,-29.75,red_kangaroo,469,372,0,0,97,0
134.25,-26.75,red_kangaroo,15,11,0,0,4,0
138.75,-27.25,emu,36,7,0,0,29,0
134.75,-30.75,red_kangaroo,410,377,0,0,33,0
130.25,-28.75,red_kangaroo,16,12,0,0,4,0
135.25,-28.25,red_kangaroo,28,21,0,0,7,0
139.75,-30.75,red_kangaroo,87,64,0,0,23,0
135.75,-29.75,red_kangaroo,513,456,0,0,57,0
140.75,-26.25,red_kangaroo,10,6,0,0,4,0
129.75,-29.25,red_kangaroo,12,8,0,0,4,0
137.25,-26.25,red_kangaroo,13,12,0,0,1,0
134.75,-31.75,red_kangaroo,173,138,0,0,35,0
136.25,-29.75,red_kangaroo,120,108,0,0,12,0
137.75,-31.25,red_kangaroo,203,155,0,0,48,0
134.75,-26.75,red_kangaroo,45,26,0,0,19,0
135.25,-26.75,red_kangaroo,32,18,0,0,14,0
127.25,-29.75,red_kangaroo,19,19,0,0,0,0
139.75,-29.75,red_kangaroo,200,135,0,0,65,0
140.25,-30.25,red_kangaroo,34,27,0,0,7,0
138.25,-32.75,emu,459,82,5,0,372,0
135.25,-27.25,red_kangaroo,32,27,0,0,5,0
132.25,-31.75,red_kangaroo,21,16,0,0,5,0
140.75,-30.75,red_kangaroo,23,20,2,0,1,0
135.25,-27.75,red_kangaroo,53,43,0,0,10,0
137.75,-30.75,red_kangaroo,110,91,0,0,19,0
135.75,-33.25,emu,27,5,0,0,22,0
130.25,-29.25,red_kangaroo,32,28,0,0,4,0
127.25,-29.25,red_kangaroo,11,11,0,0,0,0
133.75,-27.75,red_kangaroo,62,56,0,0,6,0
141.25,-31.25,emu,38,6,0,0,32,0
127.75,-30.25,red_kangaroo,13,13,0,0,0,0
135.75,-27.25,emu,29,10,0,0,19,0
136.25,-28.25,emu,18,2,0,0,16,0
138.25,-27.75,emu,99,2,0,0,97,0
129.25,-30.75,red_kangaroo,16,16,0,0,0,0
136.75,-29.75,red_kangaroo,19,13,0,0,6,0
134.75,-32.25,emu,187,32,0,0,155,0
132.25,-28.75,red_kangaroo,16,10,0,0,6,0
133.25,-28.75,red_kangaroo,10,7,0,0,3,0
138.75,-27.75,emu,68,4,0,0,64,0
136.25,-27.75,red_kangaroo,20,11,0,0,9,0
140.75,-27.25,emu,36,15,0,0,21,0
137.25,-33.25,emu,210,28,0,0,182,0
136.25,-33.75,emu,24,1,0,0,23,0
140.75,-28.25,emu,19,4,0,0,15,0
136.75,-33.75,emu,62,5,0,0,57,0
138.75,-29.25,red_kangaroo,32,28,0,0,4,0
128.25,-31.75,emu,35,5,0,0,30,0
135.25,-26.25,emu,15,5,0,0,10,0
139.75,-27.25,emu,21,2,0,0,19,0
137.25,-33.75,emu,21,1,0,0,20,0
133.75,-26.75,red_kangaroo,10,8,0,0,2,0
131.25,-29.75,red_kangaroo,14,14,0,0,0,0
133.75,-28.25,red_kangaroo,13,9,0,0,4,0
136.75,-33.25,emu,340,5,0,0,335,0
141.25,-32.75,emu,21,3,0,0,18,0
140.75,-26.75,emu,20,6,0,0,14,0
139.25,-26.25,emu,10,1,0,0,9,0
140.25,-34.75,emu,124,5,0,0,119,0
140.25,-26.25,emu,23,6,0,0,17,0
126.25,-31.25,red_kangaroo,14,11,0,0,3,0
137.75,-27.75,emu,28,2,0,0,26,0
140.75,-34.75,emu,77,2,0,0,75,0
134.75,-32.75,emu,29,5,0,0,24,0
138.75,-28.75,emu,38,2,0,0,36,0
135.25,-33.25,emu,57,1,0,0,56,0
135.75,-26.25,emu,12,2,0,0,10,0
140.25,-28.25,emu,12,1,0,0,11,0
135.75,-33.75,emu,58,1,0,0,57,0
138.75,-28.25,emu,48,1,0,0,47,0
137.75,-33.25,emu,30,1,0,0,29,0
147.25,-32.25,emu,63,5,10,0,48,0
142.75,-33.25,emu,88,16,12,0,60,0
149.25,-31.25,emu,934,9,261,180,482,2
149.25,-28.75,emu,127,4,5,0,118,0
142.75,-31.75,red_kangaroo,251,161,0,0,90,0
149.25,-30.75,eastern_grey_kangaroo,20884,139,19000,520,1225,0
147.25,-35.25,eastern_grey_kangaroo,1255,3,1173,9,25,45
147.25,-29.75,emu,197,7,14,3,173,0
146.25,-32.25,emu,66,3,2,0,61,0
147.75,-29.25,emu,229,17,24,13,175,0
146.25,-33.25,emu,415,2,20,0,392,1
147.75,-33.25,eastern_grey_kangaroo,40,2,26,0,11,1
150.75,-34.25,koala,45411,4,4842,40356,18,191
150.25,-33.25,eastern_grey_kangaroo,5998,1,5848,73,9,67
148.75,-30.75,koala,526,19,129,259,119,0
152.25,-31.75,koala,5694,3,218,5290,0,183
149.75,-28.75,emu,94,4,25,11,54,0
146.25,-29.25,emu,208,45,22,0,141,0
149.75,-33.25,eastern_grey_kangaroo,2414,6,1621,582,86,119
151.25,-32.75,eastern_grey_kangaroo,4382,3,3882,385,57,55
148.25,-29.75,emu,171,12,16,16,127,0
143.75,-31.75,emu,75,12,0,0,63,0
150.75,-33.75,eastern_grey_kangaroo,11523,16,8260,2394,637,216
150.25,-36.25,eastern_grey_kangaroo,1664,1,951,409,285,18
148.75,-32.75,eastern_grey_kangaroo,253,4,186,4,21,38
142.75,-32.25,emu,208,3,1,0,204,0
142.75,-30.75,emu,113,26,1,0,86,0
146.25,-29.75,emu,150,7,26,3,114,0
148.25,-30.25,emu,165,5,14,8,137,1
145.25,-33.25,emu,358,40,18,0,298,2
141.75,-32.75,emu,105,4,1,0,100,0
143.75,-29.75,emu,57,16,3,0,38,0
151.75,-32.75,koala,8965,5,1695,7108,73,84
143.25,-32.75,emu,97,1,0,0,96,0
150.75,-35.25,eastern_grey_kangaroo,3277,2,3257,10,3,5
148.75,-31.75,emu,209,3,49,15,141,1
146.25,-35.75,eastern_grey_kangaroo,111,3,81,0,4,23
151.75,-33.25,eastern_grey_kangaroo,579,1,489,74,4,11
141.75,-33.25,emu,178,13,0,0,165,0
144.25,-32.75,emu,91,4,3,5,79,0
144.75,-34.75,emu,353,10,16,1,323,3
142.75,-32.75,emu,74,9,1,0,64,0
148.25,-32.25,eastern_grey_kangaroo,141,4,91,2,43,1
149.25,-33.25,eastern_grey_kangaroo,2399,4,2112,181,35,67
147.75,-30.75,emu,556,11,45,2,498,0
150.75,-31.25,eastern_grey_kangaroo,898,6,727,161,2,2
149.75,-29.25,emu,513,7,51,72,381,2
146.25,-30.75,emu,58,1,0,1,56,0
147.25,-30.75,emu,357,6,8,0,343,0
147.25,-33.75,emu,316,9,90,0,216,1
146.75,-32.25,emu,25,2,7,0,16,0
147.25,-30.25,emu,111,7,4,0,100,0
144.75,-29.25,emu,102,7,0,0,95,0
148.75,-31.25,emu,801,6,229,69,497,0
144.75,-30.25,emu,37,3,4,0,30,0
150.25,-29.75,emu,396,1,56,76,253,10
142.25,-33.75,emu,39,13,5,0,21,0
144.25,-33.25,emu,57,2,0,0,55,0
148.25,-29.25,emu,79,2,5,15,57,0
146.75,-30.75,emu,51,2,4,0,45,0
145.25,-35.25,emu,173,5,10,0,158,0
146.75,-31.25,emu,74,4,13,0,57,0
149.25,-33.75,koala,1345,1,487,809,18,30
146.75,-31.75,emu,58,3,12,0,43,0
151.75,-30.75,eastern_grey_kangaroo,6070,2,4227,1812,5,24
149.25,-30.25,eastern_grey_kangaroo,1130,6,767,29,327,1
141.75,-30.75,emu,87,3,1,0,83,0
145.25,-31.75,emu,56,1,0,0,55,0
148.75,-34.75,eastern_grey_kangaroo,1098,1,998,10,5,84
148.25,-35.25,eastern_grey_kangaroo,1821,1,1603,2,98,117
141.25,-30.75,emu,28,2,0,0,26,0
146.75,-32.75,emu,76,7,11,1,57,0
150.25,-31.25,koala,1695,3,151,1482,57,2
143.25,-29.25,emu,58,1,1,0,56,0
143.25,-30.25,emu,20,1,0,0,19,0
141.25,-30.25,emu,25,4,3,0,18,0
146.75,-34.75,koala,5730,1,96,5572,25,36
144.25,-29.25,emu,70,1,0,0,69,0
150.75,-32.25,eastern_grey_kangaroo,1293,3,1200,56,1,33
145.25,-30.75,emu,124,2,2,0,120,0
145.25,-32.25,emu,39,2,0,0,37,0
151.25,-33.25,koala,2479,4,783,1372,10,310
151.25,-34.25,koala,383,3,25,336,0,19
153.75,-28.75,koala,5082,1,35,4918,4,124
151.25,-29.75,koala,1228,3,573,617,17,18
148.25,-33.25,emu,378,1,159,6,195,17
152.75,-30.75,koala,3429,1,370,3008,3,47
147.75,-32.25,emu,64,1,21,1,41,0
152.75,-31.25,koala,21380,2,2363,18879,4,132
152.75,-31.75,koala,4031,1,579,3397,3,51
146.75,-35.25,emu,71,2,30,1,36,2
149.75,-32.75,eastern_grey_kangaroo,2371,3,1431,848,18,71
145.75,-34.75,emu,182,3,49,2,128,0
148.25,-31.75,emu,63,2,8,1,52,0
147.25,-31.25,emu,155,2,7,0,146,0
144.75,-33.25,emu,95,2,0,0,93,0
142.75,-29.75,emu,84,2,0,0,82,0
148.75,-29.75,emu,71,1,5,7,58,0
145.25,-29.75,emu,82,1,1,1,79,0
147.25,-32.75,emu,39,2,8,0,29,0
148.75,-33.75,eastern_grey_kangaroo,369,2,284,2,33,48
149.25,-29.75,emu,125,2,9,1,113,0
149.75,-33.75,koala,1935,1,693,991,11,239
150.25,-30.25,eastern_grey_kangaroo,4545,1,4216,289,39,0
143.75,-30.25,emu,44,4,0,0,40,0
149.75,-34.25,eastern_grey_kangaroo,1924,1,1623,58,200,42
153.25,-29.25,koala,10343,1,1902,7040,1388,12
147.25,-33.25,emu,97,1,14,0,82,0
146.25,-31.75,emu,54,1,2,0,51,0
147.25,-31.75,emu,211,2,24,0,184,1
147.75,-34.25,eastern_grey_kangaroo,78,1,45,0,32,0
150.75,-34.75,eastern_grey_kangaroo,5331,2,3112,2014,8,195
144.25,-30.75,emu,76,2,1,0,73,0
153.25,-30.75,eastern_grey_kangaroo,1499,1,1046,433,17,2
144.75,-30.75,emu,97,2,1,0,94,0
148.75,-34.25,eastern_grey_kangaroo,2285,1,2238,10,5,31
150.25,-29.25,koala,284,1,17,207,59,0
142.25,-30.25,emu,120,1,1,0,118,0
149.25,-34.75,eastern_grey_kangaroo,1069,1,1022,12,2,32
152.75,-29.75,koala,4218,1,1311,2787,13,106
148.75,-33.25,eastern_grey_kangaroo,423,1,311,7,18,86
148.75,-29.25,emu,90,1,7,5,77,0
145.25,-35.75,koala,735,1,118,357,249,10
150.75,-31.75,eastern_grey_kangaroo,1368,1,1215,140,4,8
152.75,-26.25,koala,3225,1,214,2850,13,147
144.25,-37.75,koala,2064,0,769,1093,74,128
144.25,-38.25,emu,2577,0,937,145,1292,203
144.75,-37.75,eastern_grey_kangaroo,1629,0,1258,110,22,239
144.75,-38.25,eastern_grey_kangaroo,844,0,719,117,7,1
143.75,-38.25,eastern_grey_kangaroo,237,0,80,79,2,76
147.25,-36.25,eastern_grey_kangaroo,324,0,192,2,32,98
141.25,-38.25,emu,2007,0,564,655,766,22
147.75,-37.75,koala,1570,0,308,606,581,75
145.75,-37.25,platypus,852,0,248,286,5,313
141.75,-37.75,koala,965,0,349,433,149,34
145.75,-37.75,koala,928,0,291,343,20,274
148.75,-37.75,emu,285,0,76,1,137,71
143.25,-37.25,eastern_grey_kangaroo,666,0,284,268,8,106
148.25,-37.25,eastern_grey_kangaroo,598,0,200,183,139,76
148.25,-37.75,emu,473,0,182,61,185,45
146.75,-38.75,eastern_grey_kangaroo,366,0,205,105,40,16
143.75,-37.75,koala,1043,0,442,562,0,39
144.25,-37.25,eastern_grey_kangaroo,4003,0,2862,807,106,228
141.25,-37.75,koala,1400,0,231,713,419,37
142.75,-36.75,emu,135,0,47,29,48,11
145.75,-38.25,eastern_grey_kangaroo,751,0,536,122,7,86
145.25,-36.75,emu,1123,0,246,245,504,128
143.25,-36.75,eastern_grey_kangaroo,315,0,295,16,1,3
146.75,-36.25,eastern_grey_kangaroo,2564,0,2176,194,6,188
147.75,-37.25,emu,361,0,118,9,140,94
141.75,-38.25,koala,1933,0,572,1122,234,5
143.25,-38.75,koala,368,0,117,178,3,70
147.75,-38.25,emu,179,0,76,26,77,0
142.25,-37.25,emu,2328,0,482,143,1687,16
144.25,-36.75,eastern_grey_kangaroo,711,0,609,78,17,7
145.25,-37.25,koala,1126,0,320,334,178,294
145.25,-38.25,koala,4030,0,954,2973,84,19
146.75,-38.25,koala,1088,0,123,662,228,75
150.25,-37.25,eastern_grey_kangaroo,51,0,47,1,3,0
145.75,-36.25,eastern_grey_kangaroo,173,0,99,12,5,57
145.25,-36.25,eastern_grey_kangaroo,198,0,87,54,5,52
140.75,-38.25,emu,115,0,36,17,61,1
145.75,-38.75,eastern_grey_kangaroo,664,0,341,235,79,9
146.25,-36.75,eastern_grey_kangaroo,302,0,124,47,8,123
146.75,-36.75,eastern_grey_kangaroo,382,0,190,5,4,183
144.75,-37.25,koala,1074,0,388,501,122,63
146.25,-36.25,eastern_grey_kangaroo,649,0,315,139,68,127
143.75,-37.25,eastern_grey_kangaroo,468,0,232,118,4,114
148.75,-37.25,eastern_grey_kangaroo,201,0,71,25,46,59
142.75,-37.75,eastern_grey_kangaroo,39,0,15,2,7,15
147.25,-37.25,emu,207,0,60,1,108,38
144.75,-36.75,eastern_grey_kangaroo,675,0,394,10,218,53
148.25,-36.75,emu,494,0,215,3,240,36
142.75,-37.25,emu,2063,0,656,189,1197,21
144.25,-35.75,emu,718,0,113,61,458,86
145.75,-36.75,koala,1111,0,447,500,1,163
147.25,-38.25,emu,465,0,164,115,169,17
143.25,-38.25,koala,252,0,97,147,1,7
141.75,-37.25,emu,461,0,152,73,217,19
146.25,-38.75,emu,2071,0,359,577,1027,108
143.75,-36.25,eastern_grey_kangaroo,68,0,41,1,2,24
142.25,-37.75,emu,1036,0,194,245,546,51
143.75,-36.75,eastern_grey_kangaroo,363,0,219,27,1,116
142.25,-36.75,emu,392,0,51,9,316,16
141.25,-37.25,emu,606,0,39,242,312,13
146.25,-38.25,koala,1568,0,185,1169,51,163
147.75,-36.25,eastern_grey_kangaroo,295,0,174,0,55,66
146.75,-37.25,emu,47,0,5,0,27,15
142.75,-38.25,koala,368,0,38,207,9,114
149.25,-37.75,eastern_grey_kangaroo,94,0,42,0,18,34
143.75,-38.75,koala,1836,0,207,1338,22,269
147.25,-36.75,platypus,197,0,34,3,22,138
149.75,-37.75,koala,241,0,74,122,41,4
149.75,-37.25,eastern_grey_kangaroo,1172,0,714,111,262,85
144.25,-36.25,eastern_grey_kangaroo,88,0,67,1,13,7
144.75,-36.25,eastern_grey_kangaroo,239,0,132,5,38,64
147.25,-37.75,emu,553,0,122,128,260,43
142.25,-38.25,emu,1919,0,115,429,1303,72
149.25,-37.25,emu,704,0,288,73,290,53
142.75,-38.75,eastern_grey_kangaroo,57,0,35,21,0,1
145.25,-38.75,koala,63,0,14,49,0,0
146.25,-39.25,emu,188,0,14,72,100,2
146.75,-37.75,emu,188,0,29,22,73,64
140.75,-37.25,emu,246,0,16,10,220,0
146.25,-37.25,koala,205,0,36,85,0,84
147.75,-36.75,platypus,131,0,39,0,43,49
143.25,-37.75,eastern_grey_kangaroo,130,0,63,4,11,52
145.75,-35.75,koala,448,0,162,215,46,25
148.75,-36.75,eastern_grey_kangaroo,450,0,276,42,77,55
140.75,-37.75,emu,409,0,78,60,269,2
143.25,-36.25,eastern_grey_kangaroo,17,0,12,2,0,3
141.75,-36.75,emu,925,0,14,5,900,6
143.75,-35.25,emu,61,0,10,8,37,6
147.75,-35.75,eastern_grey_kangaroo,3890,0,3832,4,14,40
146.25,-37.75,koala,168,0,4,90,3,71
150.25,-23.25,eastern_grey_kangaroo,134,0,80,10,40,4
152.75,-25.75,koala,638,0,245,350,27,16
152.75,-28.25,koala,1802,0,135,1608,0,59
145.25,-16.75,emu,862,0,89,1,723,49
145.25,-17.75,eastern_grey_kangaroo,221,0,156,8,25,32
143.75,-14.75,emu,151,0,13,0,138,0
149.75,-27.25,emu,135,0,39,29,67,0
151.75,-28.25,eastern_grey_kangaroo,483,0,344,96,42,1
150.25,-24.75,emu,43,0,10,7,18,8
146.75,-19.25,koala,697,0,46,628,22,1
145.75,-17.25,platypus,761,0,10,4,12,735
149.75,-24.25,koala,41,0,9,18,14,0
152.25,-26.75,koala,363,0,37,302,0,24
150.25,-26.25,emu,34,0,9,3,22,0
149.25,-23.75,eastern_grey_kangaroo,131,0,80,10,39,2
151.25,-27.25,eastern_grey_kangaroo,233,0,92,87,53,1
147.75,-19.75,emu,18,0,4,0,14,0
150.25,-25.25,emu,63,0,18,12,27,6
151.75,-28.75,eastern_grey_kangaroo,540,0,344,110,45,41
145.25,-18.25,eastern_grey_kangaroo,90,0,50,5,35,0
151.75,-27.25,koala,1024,0,58,955,6,5
151.75,-26.25,koala,737,0,12,721,3,1
153.25,-26.25,koala,892,0,186,680,20,6
145.25,-18.75,eastern_grey_kangaroo,21,0,10,1,10,0
153.25,-26.75,eastern_grey_kangaroo,557,0,354,172,14,17
152.75,-27.25,koala,14546,0,225,13906,2,413
152.75,-26.75,koala,1859,0,146,1140,23,550
152.25,-25.25,emu,111,0,19,10,71,11
152.25,-27.25,koala,3124,0,66,3033,1,24
149.25,-25.25,eastern_grey_kangaroo,65,0,33,7,25,0
151.25,-28.25,emu,593,0,39,33,518,3
147.25,-20.25,emu,11,0,1,0,10,0
151.25,-26.75,eastern_grey_kangaroo,72,0,31,26,15,0
150.75,-26.75,emu,124,0,13,17,94,0
147.75,-22.75,koala,180,0,20,102,58,0
153.25,-28.25,koala,12043,0,131,11416,12,484
147.75,-21.75,emu,32,0,12,5,15,0
151.75,-24.25,eastern_grey_kangaroo,192,0,141,8,42,1
150.25,-27.75,emu,96,0,16,8,72,0
148.25,-22.75,koala,52,0,9,36,6,1
150.75,-27.25,eastern_grey_kangaroo,92,0,39,19,34,0
151.25,-23.75,eastern_grey_kangaroo,98,0,80,6,12,0
151.25,-27.75,koala,68,0,14,31,23,0
150.75,-25.25,emu,24,0,8,6,10,0
149.75,-25.25,emu,84,0,27,4,53,0
153.25,-27.75,koala,57600,0,853,56604,4,139
145.25,-15.75,eastern_grey_kangaroo,22,0,14,0,1,7
150.75,-27.75,eastern_grey_kangaroo,38,0,21,2,15,0
145.25,-17.25,platypus,126,0,45,5,7,69
143.25,-14.25,eastern_grey_kangaroo,19,0,14,0,5,0
148.75,-21.75,koala,1146,0,18,1099,28,1
149.75,-23.75,eastern_grey_kangaroo,67,0,24,16,24,3
151.75,-27.75,koala,1162,0,105,1047,8,2
150.25,-22.75,eastern_grey_kangaroo,28,0,14,1,13,0
148.75,-25.25,emu,107,0,12,3,92,0
152.25,-25.75,koala,62,0,19,39,0,4
147.75,-20.75,emu,21,0,6,3,12,0
150.25,-22.25,eastern_grey_kangaroo,18,0,11,0,7,0
152.75,-25.25,eastern_grey_kangaroo,221,0,141,54,25,1
152.25,-28.25,koala,575,0,111,342,6,116
149.75,-22.75,emu,57,0,4,26,27,0
151.25,-28.75,eastern_grey_kangaroo,674,0,433,13,223,5
148.25,-24.25,koala,141,0,14,89,38,0
148.75,-23.25,emu,28,0,8,7,13,0
151.25,-25.25,platypus,42,0,6,12,10,14
149.25,-22.25,koala,86,0,4,53,25,4
143.75,-18.75,koala,30,0,5,13,12,0
148.75,-23.75,eastern_grey_kangaroo,34,0,14,9,11,0
150.75,-23.25,emu,129,0,42,16,66,5
151.75,-24.75,eastern_grey_kangaroo,45,0,18,12,11,4
151.25,-24.75,koala,61,0,12,27,17,5
151.25,-24.25,koala,63,0,19,24,16,4
149.75,-23.25,emu,20,0,5,5,10,0
150.25,-23.75,eastern_grey_kangaroo,56,0,26,5,23,2
144.75,-18.75,emu,29,0,7,0,22,0
143.25,-13.75,eastern_grey_kangaroo,22,0,15,0,7,0
151.25,-25.75,eastern_grey_kangaroo,36,0,12,12,5,7
150.75,-24.75,koala,112,0,26,51,33,2
152.25,-28.75,koala,1479,0,306,1086,2,85
151.75,-26.75,koala,320,0,20,285,8,7
151.75,-25.75,koala,71,0,7,29,24,11
153.75,-27.25,koala,715,0,327,388,0,0
144.25,-15.25,emu,30,0,4,0,26,0
149.75,-26.25,eastern_grey_kangaroo,29,0,17,5,7,0
148.25,-23.75,emu,67,0,16,23,27,1
150.75,-22.75,emu,67,0,13,1,51,2
148.25,-26.25,emu,37,0,4,6,27,0
150.75,-23.75,emu,33,0,9,7,17,0
145.75,-16.75,platypus,30,0,8,2,1,19
152.25,-24.75,platypus,280,0,126,10,6,138
148.75,-25.75,emu,26,0,9,1,15,1
148.75,-24.25,emu,50,0,14,17,19,0
150.25,-25.75,koala,16,0,4,6,6,0
145.75,-18.25,platypus,19,0,5,4,2,8
147.75,-23.75,emu,32,0,4,9,19,0
144.25,-15.75,emu,12,0,2,0,10,0
151.75,-25.25,koala,60,0,6,37,11,6
148.75,-20.75,emu,56,0,16,16,17,7
148.25,-25.25,eastern_grey_kangaroo,282,0,139,20,53,70
147.75,-24.75,emu,46,0,9,8,27,2
149.75,-25.75,emu,51,0,13,11,25,2
150.75,-25.75,emu,22,0,5,3,14,0
